id,text,amr,ground_truth,response_final,pred,response_final_amr,pred_amr,label_direct,label_amr,did_llm_failed,helpfulness
logic_test_0000,People who drive big cars probably hate the environment.,"(h / hate-01~6
    :ARG0 (p / person~0
        :ARG0-of (d / drive-01~2
            :ARG1 (c / car~4
                :mod (b / big~3))))
    :ARG1 (e / environment~8)
    :mod (p2 / probable~5))
",fallacy of extension,The fallacy present in the text is a Faulty Generalization.,faulty generalization,"The fallacy type present in the text is a Faulty Generalization. This is because the statement ""People who drive big cars probably hate the environment"" makes a generalization about all people who drive",faulty generalization,0,0,1,0
logic_test_0001,"White men can't jump. No, really, they can't!","(m2 / multi-sentence~5
    :snt1 (p / possible-01~2
        :ARG1 (j / jump-03~4
            :ARG0 (m / man~1
                :ARG1-of (w / white-02~0)))
        :polarity -~3)
    :snt2 (p2 / possible-01~11
        :ARG1 (t / they~10)
        :ARG1-of (r / real-04~8)
        :ARG2 (j2 / jump-03~4
            :ARG0 t)
        :polarity -~12))
",faulty generalization,The fallacy type present in the text is an example of an Ad Hominem fallacy. This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In,ad hominem,"The fallacy type present in the text is an example of the ""Ad Hominem"" fallacy. This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself",ad hominem,0,0,1,0
logic_test_0002,"'Cotton and grain crops were lower this year than last. So, people must be stealing them.""
This is an example of what kind of logical fallacy?","(m2 / multi-sentence~11
    :rel (t / States~1)
    :rel (l / last~10)
    :snt1 (l3 / low-04~6
        :ARG1 (a2 / and~2
            :op1 (c / crop-01~4
                :mod (n / United~1))
            :op2 (c2 / crop-01~4
                :ARG1 (g / grain~3)))
        :ARG2-of (h / have-degree-91~6
            :ARG1 a2
            :ARG3 (m / more~6))
        :time (y / year~8
            :mod (t2 / this~7)))
    :snt2 (i / infer-01~12
        :ARG1 (i2 / infer-01~15
            :ARG1 (s / steal-01~17
                :ARG0 (p / person~14)
                :ARG1 a2)))
    :snt3 (e / exemplify-01~24
        :ARG0 (t3 / this~21)
        :ARG1 (k / kind~27
            :mod (a / amr-unknown~26)
            :mod (f / fallacy~30
                :mod (l2 / logic~29)))))
",fallacy of logic,The fallacy present in the text is False Causality.,false causality,The fallacy type present in the text is False Causality.,false causality,0,0,1,0
logic_test_0003,"""Why are you hitting your computer!?""
""The last time my wifi was weak, I hit my computer and it got better."" What is this?","(m2 / multi-sentence~27
    :snt1 (h2 / hit-01~4
        :ARG0 (y / you~3)
        :ARG1 (c2 / computer~6
            :poss y)
        :ARG1-of (c / cause-01~1
            :ARG0 (a / amr-unknown~1)))
    :snt2 (a3 / and~23
        :op1 (h3 / hit-01~20
            :ARG0 (i / i~19)
            :ARG1 (c3 / computer~22
                :poss i)
            :time (w / weak-02~17
                :ARG1 (w2 / wifi~15
                    :poss i)
                :mod (l / last~12)))
        :op2 (g / get-03~25
            :ARG1 (i2 / it~24)
            :ARG2 (g2 / good-02~26
                :ARG1 i2
                :ARG2-of (h / have-degree-91~26
                    :ARG1 i2
                    :ARG3 (m / more~26)))))
    :snt3 (a2 / amr-unknown~29
        :domain (t / this~31)))
",false causality,The fallacy present in the text is False Causality.,false causality,The fallacy type present in the text is False Causality.,false causality,1,1,0,0
logic_test_0004,All students are good and all clowns are bad.,"(a2 / and~4
    :op1 (g / good-02~3
        :ARG1 (p / person~1
            :ARG0-of (s / study-01~1)
            :mod (a / all~0)))
    :op2 (b / bad-07~8
        :ARG1 (c / clown~6
            :mod a)))
",faulty generalization,The fallacy present in the text is a Faulty Generalization.,faulty generalization,"The fallacy type present in the text is Faulty Generalization. This is because the text makes a generalization about all students being good and all clowns being bad, which is an overgeneral",faulty generalization,1,1,0,0
logic_test_0005,"""People who don't support the proposed state minimum wage increase must hate the poor so much.""

Which logical fallacy is used in the statement above?","(m3 / multi-sentence~18
    :snt1 (o / obligate-01~12
        :ARG1 (p / person~1
            :ARG0-of (s4 / support-01~5
                :ARG1 (i / increase-01~11
                    :ARG0 (s2 / state~8)
                    :ARG1 (w / wage~10
                        :mod (m / minimum~9))
                    :ARG1-of (p4 / propose-01~7))
                :polarity -~4))
        :ARG2 (h / hate-01~13
            :ARG0 p
            :ARG1 (p2 / person~14
                :mod (p3 / poor~15))
            :degree (m2 / much~17
                :degree (s / so~16))))
    :snt2 (f / fallacy~22
        :ARG1-of (u / use-01~24
            :ARG2 (s3 / state-01~27
                :location (a / above~28)))
        :mod (l / logical~21)
        :mod (a2 / amr-unknown~20)))
",fallacy of extension,The logical fallacy present in the text is an example of Ad Hominem. This fallacy occurs when someone attacks the character or personal traits of an individual instead of addressing the argument they are making,ad hominem,"The fallacy present in the text is an Ad Hominem fallacy. This is because the statement attacks the character or motives of the people who do not support the proposed state minimum wage increase,",ad hominem,0,0,1,0
logic_test_0006,"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine! I can't believe you think the government should be allowed to regulate what I share with my friends. No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.","(m3 / multi-sentence~51
    :snt1 (s / say-01~1
        :ARG0 (p / person~0
            :name (n / name~0
                :op1 ""Charlie""~0))
        :ARG1 (c / cripple-01~10
            :ARG0 (a2 / and~4
                :ARG1-of (l / legal-02~2)
                :op1 (p10 / post-01~3
                    :ARG1 (s6 / song~7)
                    :medium (o / online~8))
                :op2 (s3 / share-01~5
                    :ARG1 s6
                    :ARG2 o))
            :ARG1 (i3 / industry~13
                :mod (m4 / music~12))))
    :snt2 (s2 / say-01~16
        :ARG0 (p2 / person~15
            :name (n2 / name~15
                :op1 ""Bob""~15)))
    :snt3 s2
    :snt4 (a3 / and~23
        :op1 s
        :op2 (p7 / possible-01~18
            :ARG1 (w3 / wrong-04~22
                :ARG1 (y / you~17)
                :ARG2-of (h / have-degree-91~21
                    :ARG1 y
                    :ARG3 (m2 / more~21)))
            :polarity -~34)
        :op3 (d / do-02~28
            :ARG0 (i4 / industry~26
                :mod (m5 / music~25))
            :ARG1-of (f / fine-04~30
                :mod (j / just~29)))
        :op4 (p8 / possible-01~33
            :ARG1 (b / believe-01~35
                :ARG0 (i / i~32)
                :ARG1 (t2 / think-01~37
                    :ARG0 y
                    :ARG1 (r / recommend-01~40
                        :ARG1 (a / allow-01~42
                            :ARG1 (r2 / regulate-01~44
                                :ARG0 (g3 / government-organization~39
                                    :ARG0-of (g2 / govern-01~39))
                                :ARG1 (t / thing~45
                                    :ARG1-of (s4 / share-01~47
                                        :ARG0 i
                                        :ARG2 (p3 / person~50
                                            :ARG0-of (h2 / have-rel-role-91~50
                                                :ARG1 i
                                                :ARG2 (f3 / friend~50)
                                                :ARG2 (g / girlfriend~66))))))))))
            :polarity -~34))
    :snt5 (w / want-01~54
        :ARG0 (n4 / no-one~52)
        :ARG1 (w2 / world~56
            :location-of (p9 / possible-01~59
                :ARG1 (o2 / or~75
                    :op1 (l3 / loan-01~61
                        :ARG0 (i2 / i~58)
                        :ARG1 (b3 / book~63)
                        :ARG2 (p4 / person~50
                            :ARG0-of (h3 / have-rel-role-91~66
                                :ARG1 p4)))
                    :op2 (l2 / let-01~68
                        :ARG0 i2
                        :ARG1 (b4 / borrow-01~71
                            :ARG0 (p5 / person~70
                                :ARG0-of h3
                                :ARG0-of (h4 / have-rel-role-91~70
                                    :ARG1 i2
                                    :ARG2 (r3 / roommate~70)))
                            :ARG1 (p11 / product~73
                                :name (n3 / name~73
                                    :op1 ""iPod""~73)
                                :poss i2)))
                    :op3 (s5 / share-01~76
                        :ARG0 i2
                        :ARG1 (m / meme~79
                            :mod (f4 / funny~78))
                        :ARG2 (p6 / person~83
                            :ARG0-of (f2 / follow-02~83
                                :ARG1 (b2 / blog-01~82
                                    :ARG0 i2)))))
                :polarity -~60))))
",fallacy of extension,The fallacy type present in the text is False Dilemma.,false dilemma,The fallacy type present in the text is False Dilemma.,false dilemma,0,0,1,0
logic_test_0007,"Paige wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Paula's any good either.","(m / multi-sentence~11
    :snt1 (w / want-01~1
        :ARG0 (p / person~0
            :name (n / name~0
                :op1 ""Paige""~0))
        :ARG1 (p4 / play-11~3
            :ARG0 p
            :ARG1 (s2 / solo~6
                :mod (g2 / guitar~5))
            :time (r / record-01~10
                :ARG0 (w2 / we~8)
                :mod (n3 / next~9))))
    :snt2 (m2 / musician~17
        :ARG0-of (c / cause-01~21
            :ARG1 (d / doubt-01~23
                :ARG0 (i / i~22)
                :ARG1 (g / good-03~28
                    :ARG1 (p3 / person~25
                        :name (n2 / name~25
                            :op1 ""Paula""~25))
                    :mod (a / any~27)
                    :mod (e / either~29))))
        :ARG1-of (h / have-concession-91~19)
        :domain (p2 / person~13
            :ARG0-of (h2 / have-rel-role-91~13
                :ARG1 (s / she~12)
                :ARG2 (f / father~13)))
        :mod (h3 / horrible~16)))
",faulty generalization,The fallacy present in the text is Ad Hominem.,ad hominem,The fallacy type present in the text is an Ad Hominem fallacy. This is because the argument attacks the credibility or character of Paula (the person being discussed) based on the negative qualities,ad hominem,0,0,1,0
logic_test_0008,"My sister-in-law, who is a teacher, said that this school is not somewhere that I would want to send my children.","(s / say-01~12
    :ARG0 (p / person~1
        :ARG0-of (h / have-rel-role-91~1
            :ARG1 (i / i~0)
            :ARG2 (s4 / sister-in-law~1))
        :ARG0-of (t / teach-01~10))
    :ARG1 (w / want-01~22
        :ARG0 i
        :ARG1 (s3 / send-01~24
            :ARG0 i
            :ARG1 (p2 / person~26
                :ARG0-of (h2 / have-rel-role-91~26
                    :ARG1 i
                    :ARG2 (c / child~26)))
            :ARG2 (s5 / somewhere~18
                :domain (s2 / school~15
                    :mod (t2 / this~14))))
        :polarity -~17))
",fallacy of credibility,The fallacy present in the text is the Fallacy of Credibility.,fallacy of credibility,"Based on the given text and its AMR, the fallacy type present in the text is the Fallacy of Credibility. This fallacy occurs when the credibility or expertise of a person is",fallacy of credibility,1,1,0,0
logic_test_0009,something that kills is deadly,"(k2 / kill-01~4
    :ARG0 (s / something~0
        :ARG0-of (k / kill-01~2)))
",circular reasoning,The fallacy present in the text is a Faulty Generalization.,faulty generalization,"Based on the given text and its AMR, the fallacy type present in the text is a Faulty Generalization. This is because the statement ""something that kills is deadly"" makes a general",faulty generalization,0,0,1,0
